질문,골든 답변,생성 답변,정답 chunk_id,LLM 사용 chunk_id,생성 답변 출처,Retriever Top-3,실제 LLM Context chunk,검색 시간(초),답변 생성 시간(초),질문 전체 시간(초)
강등당하면 신분도 없어지나요?,,강등은 1계급 아래로 직급을 내리지만 신분은 보유하므로 신분이 없어지지는 않습니다.,,인사규정_0124,인사규정 제53조 [인사규정_0124],"1. 인사규정_0098 (인사규정)
2. 인사규정_0079 (인사규정)
3. 인사규정_0124 (인사규정)
4. 인사규정_0038 (인사규정)
5. 인사규정_0050 (인사규정)
6. 인사규정_0099 (인사규정)","인사규정_0097 (chunk_no=97)
인사규정_0098 (chunk_no=98)
인사규정_0099 (chunk_no=99)
인사규정_0078 (chunk_no=78)
인사규정_0079 (chunk_no=79)
인사규정_0080 (chunk_no=80)
인사규정_0123 (chunk_no=123)
인사규정_0124 (chunk_no=124)
인사규정_0125 (chunk_no=125)
인사규정_0037 (chunk_no=37)
인사규정_0038 (chunk_no=38)
인사규정_0039 (chunk_no=39)
인사규정_0049 (chunk_no=49)
인사규정_0050 (chunk_no=50)
인사규정_0051 (chunk_no=51)
인사규정_0100 (chunk_no=100)",3.629,1.059,4.69
기능직 4등급의 승진소요 최저년수가 궁금합니다.,,제공된 문서만으로는 기능직 4등급의 승진소요 최저연수에 대한 구체적인 정보를 확인하기 어렵습니다.,,,,"1. 인사규정_0058 (인사규정)
2. 인사규정_0044 (인사규정)
3. 인사규정_0059 (인사규정)
4. 급여규정_0036 (급여규정)
5. 인사규정_0055 (인사규정)
6. 승진임용규칙_0030 (승진임용규칙)","인사규정_0057 (chunk_no=57)
인사규정_0058 (chunk_no=58)
인사규정_0059 (chunk_no=59)
인사규정_0043 (chunk_no=43)
인사규정_0044 (chunk_no=44)
인사규정_0045 (chunk_no=45)
인사규정_0060 (chunk_no=60)
급여규정_0035 (chunk_no=35)
급여규정_0036 (chunk_no=36)
급여규정_0037 (chunk_no=37)
인사규정_0054 (chunk_no=54)
인사규정_0055 (chunk_no=55)
인사규정_0056 (chunk_no=56)
승진임용규칙_0029 (chunk_no=29)
승진임용규칙_0030 (chunk_no=30)
승진임용규칙_0031 (chunk_no=31)",4.652,0.975,5.631
공간정보 데이터베이스를 운영할 때 어떤 보호대책을 마련해야 하나요?,,"공간정보 데이터베이스를 운영할 경우, 훼손·파괴·유출 등을 방지하기 위한 보호대책을 마련해야 하며, 구체적으로는 다음과 같은 사항이 포함되어야 합니다: 보안관리 책임자 지정, 데이터베이스 보관 시설에 대한 출입통제, 데이터베이스 복제본 관리대장 비치, 접근 권한 구분 설정, 비공개 또는 공개가 제한되는 자료목록 관리, 해킹 및 컴퓨터바이러스 예방대책 마련.",,공간정보보안업무예규_0018|공간정보보안업무예규_0019,공간정보보안업무예규 제10조 [공간정보보안업무예규_0018],"1. 공간정보보안업무예규_0018 (공간정보보안업무예규)
2. 공간정보보안업무예규_0019 (공간정보보안업무예규)
3. 공간정보보안업무예규_0020 (공간정보보안업무예규)
4. 공간정보보안업무예규_0022 (공간정보보안업무예규)
5. 공간정보보안업무예규_0021 (공간정보보안업무예규)
6. 공간정보보안업무예규_0066 (공간정보보안업무예규)","공간정보보안업무예규_0017 (chunk_no=17)
공간정보보안업무예규_0018 (chunk_no=18)
공간정보보안업무예규_0019 (chunk_no=19)
공간정보보안업무예규_0020 (chunk_no=20)
공간정보보안업무예규_0021 (chunk_no=21)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0067 (chunk_no=67)",3.654,2.776,6.433
비공개 또는 공개제한 공간정보를 외주용역으로 처리하려면 사전에 무엇을 해야 하나요?,,"비공개 또는 공개가 제한되는 공간정보의 외주용역을 처리하려면, 다음 각 호의 보안대책을 마련한 후 공간정보 보안담당관의 사전검토를 받아야 합니다: 1. 계약서에 비밀 준수 및 공간정보 보호 의무와 위반 시 조치사항 명시, 2. 참여인원에 대한 신원확인, 서약집행 및 보안교육, 3. 작업장소를 통제구역 또는 제한구역으로 설정, 4. 용역종료 시 성과물과 제공된 각종 자료 회수, 5. 그 밖에 보안 관리를 위해 필요한 사항.",,공간정보보안업무예규_0025,공간정보보안업무예규 제13조 [공간정보보안업무예규_0025],"1. 공간정보보안업무예규_0025 (공간정보보안업무예규)
2. 공간정보보안업무예규_0026 (공간정보보안업무예규)
3. 공간정보보안업무예규_0035 (공간정보보안업무예규)
4. 공간정보보안업무예규_0027 (공간정보보안업무예규)
5. 공간정보보안업무예규_0036 (공간정보보안업무예규)
6. 보안업무예규_0134 (보안업무예규)","공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0025 (chunk_no=25)
공간정보보안업무예규_0026 (chunk_no=26)
공간정보보안업무예규_0027 (chunk_no=27)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0028 (chunk_no=28)
공간정보보안업무예규_0037 (chunk_no=37)
보안업무예규_0133 (chunk_no=133)
보안업무예규_0134 (chunk_no=134)
보안업무예규_0135 (chunk_no=135)",3.76,2.667,6.431
외국인에게 공간정보 관련 업무를 맡길 때 필요한 보안조치는 무엇인가요?,,"외국인에게 공간정보 관련 업무를 맡길 때 필요한 보안조치는 다음과 같습니다: 1. 신원 확인, 신상기록부 작성·유지, 보안교육 및 서약 집행, 2. 계약서에 기밀 누설·유출 시 해고 및 손해 배상 책임 명시, 3. 비공개 등 중요 공간정보 취급 및 보호구역 출입 차단 대책을 마련해야 합니다.",,공간정보보안업무예규_0032,공간정보보안업무예규 제16조 [공간정보보안업무예규_0032],"1. 공간정보보안업무예규_0032 (공간정보보안업무예규)
2. 공간정보보안업무예규_0033 (공간정보보안업무예규)
3. 공간정보보안업무예규_0025 (공간정보보안업무예규)
4. 공간정보보안업무예규_0027 (공간정보보안업무예규)
5. 공간정보보안업무예규_0035 (공간정보보안업무예규)
6. 공간정보보안업무예규_0016 (공간정보보안업무예규)","공간정보보안업무예규_0031 (chunk_no=31)
공간정보보안업무예규_0032 (chunk_no=32)
공간정보보안업무예규_0033 (chunk_no=33)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0025 (chunk_no=25)
공간정보보안업무예규_0026 (chunk_no=26)
공간정보보안업무예규_0027 (chunk_no=27)
공간정보보안업무예규_0028 (chunk_no=28)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0016 (chunk_no=16)
공간정보보안업무예규_0017 (chunk_no=17)",3.731,2.134,5.869
공간정보 보안교육은 얼마나 자주 실시해야 하나요?,,"공간정보 보안담당관은 연 1회 이상 공간정보 보안 교육을 실시해야 하며, 필요 시 수시교육을 실시할 수 있습니다.",,공간정보보안업무예규_0054|공간정보보안업무예규_0056,공간정보보안업무예규 제25조 [공간정보보안업무예규_0054],"1. 공간정보보안업무예규_0054 (공간정보보안업무예규)
2. 공간정보보안업무예규_0056 (공간정보보안업무예규)
3. 공간정보보안업무예규_0055 (공간정보보안업무예규)
4. 공간정보보안업무예규_0050 (공간정보보안업무예규)
5. 보안업무예규_0159 (보안업무예규)
6. 보안업무예규_0021 (보안업무예규)","공간정보보안업무예규_0053 (chunk_no=53)
공간정보보안업무예규_0054 (chunk_no=54)
공간정보보안업무예규_0055 (chunk_no=55)
공간정보보안업무예규_0056 (chunk_no=56)
공간정보보안업무예규_0057 (chunk_no=57)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0051 (chunk_no=51)
보안업무예규_0158 (chunk_no=158)
보안업무예규_0159 (chunk_no=159)
보안업무예규_0160 (chunk_no=160)
보안업무예규_0020 (chunk_no=20)
보안업무예규_0021 (chunk_no=21)
보안업무예규_0022 (chunk_no=22)",3.635,1.49,5.127
공간정보 보안사고 조사가 진행 중일 때 사고 내용을 공개해도 되나요?,,공간정보 보안사고 조사가 진행 중일 때는 관련 내용을 공개하지 않아야 합니다.,,공간정보보안업무예규_0058,공간정보보안업무예규 제26조 [공간정보보안업무예규_0058],"1. 공간정보보안업무예규_0057 (공간정보보안업무예규)
2. 공간정보보안업무예규_0058 (공간정보보안업무예규)
3. 공간정보보안업무예규_0068 (공간정보보안업무예규)
4. 공간정보보안업무예규_0035 (공간정보보안업무예규)
5. 공간정보보안업무예규_0071 (공간정보보안업무예규)
6. 공간정보보안업무예규_0036 (공간정보보안업무예규)","공간정보보안업무예규_0056 (chunk_no=56)
공간정보보안업무예규_0057 (chunk_no=57)
공간정보보안업무예규_0058 (chunk_no=58)
공간정보보안업무예규_0059 (chunk_no=59)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)
공간정보보안업무예규_0037 (chunk_no=37)",3.66,0.938,4.6
"자격수당과 직무수당, 박사수당을 동시에 받을 수 있나요?",,"자격수당, 직무수당, 박사수당은 서로 중복 지급되지 않으며, 본인에게 유리한 하나의 수당만 지급됩니다.",,급여규정_0007,급여규정 제6조 [급여규정_0007],"1. 급여규정_0007 (급여규정)
2. 급여규정_0018 (급여규정)
3. 급여규정_0138 (급여규정)
4. 인사규정_0181 (인사규정)
5. 급여규정_0134 (급여규정)
6. 급여규정_0060 (급여규정)","급여규정_0006 (chunk_no=6)
급여규정_0007 (chunk_no=7)
급여규정_0008 (chunk_no=8)
급여규정_0017 (chunk_no=17)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0137 (chunk_no=137)
급여규정_0138 (chunk_no=138)
급여규정_0139 (chunk_no=139)
인사규정_0180 (chunk_no=180)
인사규정_0181 (chunk_no=181)
인사규정_0182 (chunk_no=182)
급여규정_0133 (chunk_no=133)
급여규정_0134 (chunk_no=134)
급여규정_0135 (chunk_no=135)
급여규정_0059 (chunk_no=59)
급여규정_0060 (chunk_no=60)
급여규정_0061 (chunk_no=61)",3.377,1.249,4.63
5년 이상 근무한 직원이 그달에 15일 이상 근무하고 퇴직하면 해당 월 보수는 어떻게 지급되나요?,,"5년 이상 근무한 직원이 그달에 15일 이상 근무하고 퇴직하는 경우, 해당 월 보수의 전액이 지급됩니다.",,급여규정_0018,급여규정 제8조 [급여규정_0018],"1. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
2. 급여규정_0060 (급여규정)
3. 급여규정_0154 (급여규정)
4. 인사규정_0104 (인사규정)
5. 급여규정_0019 (급여규정)
6. 급여규정_0026 (급여규정)","연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
급여규정_0059 (chunk_no=59)
급여규정_0060 (chunk_no=60)
급여규정_0061 (chunk_no=61)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0155 (chunk_no=155)
인사규정_0103 (chunk_no=103)
인사규정_0104 (chunk_no=104)
인사규정_0105 (chunk_no=105)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0020 (chunk_no=20)
급여규정_0025 (chunk_no=25)
급여규정_0026 (chunk_no=26)
급여규정_0027 (chunk_no=27)",3.644,1.235,4.882
본직 외에 다른 직을 겸직하면 겸직에 대한 보수를 별도로 받을 수 있나요?,,본직 이외에 겸직한 경우에는 겸직에 대한 보수를 지급하지 않습니다.,,급여규정_0028,급여규정 제12조 [급여규정_0028],"1. 급여규정_0028 (급여규정)
2. 급여규정_0019 (급여규정)
3. 급여규정_0158 (급여규정)
4. 급여규정_0061 (급여규정)
5. 급여규정_0007 (급여규정)
6. 급여규정_0149 (급여규정)","급여규정_0027 (chunk_no=27)
급여규정_0028 (chunk_no=28)
급여규정_0029 (chunk_no=29)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0020 (chunk_no=20)
급여규정_0157 (chunk_no=157)
급여규정_0158 (chunk_no=158)
급여규정_0159 (chunk_no=159)
급여규정_0060 (chunk_no=60)
급여규정_0061 (chunk_no=61)
급여규정_0062 (chunk_no=62)
급여규정_0006 (chunk_no=6)
급여규정_0007 (chunk_no=7)
급여규정_0008 (chunk_no=8)
급여규정_0148 (chunk_no=148)
급여규정_0149 (chunk_no=149)
급여규정_0150 (chunk_no=150)",3.7,1.398,5.103
퇴직했던 직원이 다시 임용되면 호봉은 어떻게 정하나요?,,퇴직한 직원이 재임용된 경우에는 퇴직당시의 호봉으로 정해집니다.,,급여규정_0035,급여규정 제16조 [급여규정_0035],"1. 급여규정_0033 (급여규정)
2. 인사규정_0071 (인사규정)
3. 급여규정_0019 (급여규정)
4. 급여규정_0035 (급여규정)
5. 인사규정_0040 (인사규정)
6. 인사규정_0059 (인사규정)","급여규정_0032 (chunk_no=32)
급여규정_0033 (chunk_no=33)
급여규정_0034 (chunk_no=34)
인사규정_0070 (chunk_no=70)
인사규정_0071 (chunk_no=71)
인사규정_0072 (chunk_no=72)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0020 (chunk_no=20)
급여규정_0035 (chunk_no=35)
급여규정_0036 (chunk_no=36)
인사규정_0039 (chunk_no=39)
인사규정_0040 (chunk_no=40)
인사규정_0041 (chunk_no=41)
인사규정_0058 (chunk_no=58)
인사규정_0059 (chunk_no=59)
인사규정_0060 (chunk_no=60)",3.657,2.022,5.682
재직기간이 1년 미만인 직원도 퇴직금을 받을 수 있나요?,,재직기간이 1년 미만인 경우에는 퇴직금을 지급하지 않습니다.,,급여규정_0073,급여규정 제34조 [급여규정_0073],"1. 급여규정_0074 (급여규정)
2. 급여규정_0073 (급여규정)
3. 급여규정_0072 (급여규정)
4. 급여규정_0154 (급여규정)
5. 급여규정_0148 (급여규정)
6. 급여규정_0085 (급여규정)","급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
급여규정_0072 (chunk_no=72)
급여규정_0071 (chunk_no=71)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0155 (chunk_no=155)
급여규정_0147 (chunk_no=147)
급여규정_0148 (chunk_no=148)
급여규정_0149 (chunk_no=149)
급여규정_0084 (chunk_no=84)
급여규정_0085 (chunk_no=85)
급여규정_0086 (chunk_no=86)",3.434,0.961,4.397
사이버·보안 진단의 날은 언제인가요?,,사이버·보안 진단의 날은 매월 세번째 수요일로 지정되어 있습니다.,,보안업무예규_0021,보안업무예규 제10조 [보안업무예규_0021],"1. 보안업무예규_0021 (보안업무예규)
2. 보안업무예규_0022 (보안업무예규)
3. 보안업무예규_0166 (보안업무예규)
4. 보안업무예규_0167 (보안업무예규)
5. 공간정보보안업무예규_0050 (공간정보보안업무예규)
6. 보안업무예규_0162 (보안업무예규)","보안업무예규_0020 (chunk_no=20)
보안업무예규_0021 (chunk_no=21)
보안업무예규_0022 (chunk_no=22)
보안업무예규_0023 (chunk_no=23)
보안업무예규_0165 (chunk_no=165)
보안업무예규_0166 (chunk_no=166)
보안업무예규_0167 (chunk_no=167)
보안업무예규_0168 (chunk_no=168)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0051 (chunk_no=51)
보안업무예규_0161 (chunk_no=161)
보안업무예규_0162 (chunk_no=162)
보안업무예규_0163 (chunk_no=163)",3.393,1.034,4.429
비밀취급인가증을 분실했을 때 재발급을 받으려면 어떤 서류가 필요한가요?,,"비밀취급인가증을 분실했을 때 재발급을 받으려면 다음의 서류가 필요합니다: 1. 분실(또는 멸실)사유서, 2. 훼손한 경우에는 훼손된 인가증, 3. 사진 2매, 4. 비밀취급인가증 재발급 신청서(별지 제7호서식).",,보안업무예규_0044,보안업무예규 제18조 [보안업무예규_0044],"1. 보안업무예규_0044 (보안업무예규)
2. 보안업무예규_0047 (보안업무예규)
3. 보안업무예규_0046 (보안업무예규)
4. 보안업무예규_0045 (보안업무예규)
5. 보안업무예규_0068 (보안업무예규)
6. 보안업무예규_0066 (보안업무예규)","보안업무예규_0043 (chunk_no=43)
보안업무예규_0044 (chunk_no=44)
보안업무예규_0045 (chunk_no=45)
보안업무예규_0046 (chunk_no=46)
보안업무예규_0047 (chunk_no=47)
보안업무예규_0048 (chunk_no=48)
보안업무예규_0067 (chunk_no=67)
보안업무예규_0068 (chunk_no=68)
보안업무예규_0069 (chunk_no=69)
보안업무예규_0065 (chunk_no=65)
보안업무예규_0066 (chunk_no=66)",3.402,1.64,5.044
공무상 비밀을 시설 밖으로 가져가야 할 때 어떤 절차가 필요한가요?,,"공무상 비밀을 시설 밖으로 반출하려면 사전에 사장의 승인을 받아야 하며, 해당 승인은 보안담당관의 전결로 처리할 수 있습니다.",,보안업무예규_0092|보안업무예규_0093,보안업무예규 제34조 [보안업무예규_0092],"1. 보안업무예규_0092 (보안업무예규)
2. 보안업무예규_0134 (보안업무예규)
3. 공간정보보안업무예규_0071 (공간정보보안업무예규)
4. 보안업무예규_0094 (보안업무예규)
5. 공간정보보안업무예규_0070 (공간정보보안업무예규)
6. 보안업무예규_0036 (보안업무예규)","보안업무예규_0091 (chunk_no=91)
보안업무예규_0092 (chunk_no=92)
보안업무예규_0093 (chunk_no=93)
보안업무예규_0133 (chunk_no=133)
보안업무예규_0134 (chunk_no=134)
보안업무예규_0135 (chunk_no=135)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)
보안업무예규_0094 (chunk_no=94)
보안업무예규_0095 (chunk_no=95)
공간정보보안업무예규_0069 (chunk_no=69)
보안업무예규_0035 (chunk_no=35)
보안업무예규_0036 (chunk_no=36)
보안업무예규_0037 (chunk_no=37)",3.583,1.186,4.772
사옥의 방화진단과 방화훈련은 얼마나 자주 실시해야 하나요?,,"사옥방호책임자는 방화진단을 분기별로 실시하고, 방화훈련은 연 1회 이상 실시해야 합니다.",,보안업무예규_0115,보안업무예규 제42조 [보안업무예규_0115],"1. 보안업무예규_0115 (보안업무예규)
2. 보안업무예규_0162 (보안업무예규)
3. 보안업무예규_0021 (보안업무예규)
4. 보안업무예규_0163 (보안업무예규)
5. 보안업무예규_0156 (보안업무예규)
6. 공간정보보안업무예규_0050 (공간정보보안업무예규)","보안업무예규_0114 (chunk_no=114)
보안업무예규_0115 (chunk_no=115)
보안업무예규_0116 (chunk_no=116)
보안업무예규_0161 (chunk_no=161)
보안업무예규_0162 (chunk_no=162)
보안업무예규_0163 (chunk_no=163)
보안업무예규_0020 (chunk_no=20)
보안업무예규_0021 (chunk_no=21)
보안업무예규_0022 (chunk_no=22)
보안업무예규_0164 (chunk_no=164)
보안업무예규_0155 (chunk_no=155)
보안업무예규_0156 (chunk_no=156)
보안업무예규_0157 (chunk_no=157)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0051 (chunk_no=51)",3.653,1.292,4.947
비밀을 휴대하고 출장 중 보안사고가 발생하면 가장 먼저 어디에 신고해야 하나요?,,"비밀을 휴대하고 출장 중 보안사고가 발생한 경우, 가장 먼저 경찰관서에 신고해야 합니다.",,보안업무예규_0167,보안업무예규 제56조 [보안업무예규_0167],"1. 보안업무예규_0167 (보안업무예규)
2. 공간정보보안업무예규_0071 (공간정보보안업무예규)
3. 보안업무예규_0166 (보안업무예규)
4. 보안업무예규_0064 (보안업무예규)
5. 복무규정_0024 (복무규정)
6. 보안업무예규_0150 (보안업무예규)","보안업무예규_0166 (chunk_no=166)
보안업무예규_0167 (chunk_no=167)
보안업무예규_0168 (chunk_no=168)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)
보안업무예규_0165 (chunk_no=165)
보안업무예규_0063 (chunk_no=63)
보안업무예규_0064 (chunk_no=64)
보안업무예규_0065 (chunk_no=65)
복무규정_0023 (chunk_no=23)
복무규정_0024 (chunk_no=24)
복무규정_0025 (chunk_no=25)
보안업무예규_0149 (chunk_no=149)
보안업무예규_0150 (chunk_no=150)
보안업무예규_0151 (chunk_no=151)",3.689,0.982,4.675
직원의 임용일자를 과거로 소급할 수 있나요?,,"직원의 임용일자는 원칙적으로 소급할 수 없습니다. 단, 사망이나 형사사건으로 기소된 경우와 같은 특정 상황에서는 소급임용이 가능합니다.",,인사규정_0026,인사규정 제10조 [인사규정_0026],"1. 인사규정_0026 (인사규정)
2. 인사규정_0071 (인사규정)
3. 인사규정_0059 (인사규정)
4. 인사규정_0062 (인사규정)
5. 인사규정_0040 (인사규정)
6. 인사규정_0097 (인사규정)","인사규정_0025 (chunk_no=25)
인사규정_0026 (chunk_no=26)
인사규정_0027 (chunk_no=27)
인사규정_0070 (chunk_no=70)
인사규정_0071 (chunk_no=71)
인사규정_0072 (chunk_no=72)
인사규정_0058 (chunk_no=58)
인사규정_0059 (chunk_no=59)
인사규정_0060 (chunk_no=60)
인사규정_0061 (chunk_no=61)
인사규정_0062 (chunk_no=62)
인사규정_0063 (chunk_no=63)
인사규정_0039 (chunk_no=39)
인사규정_0040 (chunk_no=40)
인사규정_0041 (chunk_no=41)
인사규정_0096 (chunk_no=96)
인사규정_0097 (chunk_no=97)
인사규정_0098 (chunk_no=98)",3.721,1.273,4.998
인사관리나 근로조건에 관한 고충은 어디에 심사를 요청할 수 있나요?,,인사관리나 근로조건에 관한 고충은 고충처리기관 또는 고충처리위원회에 심사를 요청할 수 있습니다.,,인사규정_0113,인사규정 제47조 [인사규정_0113],"1. 인사규정_0113 (인사규정)
2. 인사규정_0131 (인사규정)
3. 인사규정_0114 (인사규정)
4. 인사규정_0132 (인사규정)
5. 인사규정_0119 (인사규정)
6. 인사규정_0040 (인사규정)","인사규정_0112 (chunk_no=112)
인사규정_0113 (chunk_no=113)
인사규정_0114 (chunk_no=114)
인사규정_0130 (chunk_no=130)
인사규정_0131 (chunk_no=131)
인사규정_0132 (chunk_no=132)
인사규정_0115 (chunk_no=115)
인사규정_0133 (chunk_no=133)
인사규정_0118 (chunk_no=118)
인사규정_0119 (chunk_no=119)
인사규정_0120 (chunk_no=120)
인사규정_0039 (chunk_no=39)
인사규정_0040 (chunk_no=40)
인사규정_0041 (chunk_no=41)",3.641,1.083,4.732
해고 사실을 30일 전에 예고하지 않으면 어떻게 되나요?,,"직원을 해고하고자 할 때 30일 전에 예고하지 않으면, 30일분 이상의 통상임금을 지급해야 합니다. 다만, 특정한 경우에는 예고하지 않아도 됩니다.",,인사규정_0087,인사규정 제38조 [인사규정_0087],"1. 인사규정_0087 (인사규정)
2. 인사규정_0083 (인사규정)
3. 승진임용규칙_0042 (승진임용규칙)
4. 여비규정_0027 (여비규정)
5. 인사규정_0026 (인사규정)
6. 인사규정_0146 (인사규정)","인사규정_0086 (chunk_no=86)
인사규정_0087 (chunk_no=87)
인사규정_0088 (chunk_no=88)
인사규정_0082 (chunk_no=82)
인사규정_0083 (chunk_no=83)
인사규정_0084 (chunk_no=84)
승진임용규칙_0041 (chunk_no=41)
승진임용규칙_0042 (chunk_no=42)
승진임용규칙_0043 (chunk_no=43)
여비규정_0026 (chunk_no=26)
여비규정_0027 (chunk_no=27)
여비규정_0028 (chunk_no=28)
인사규정_0025 (chunk_no=25)
인사규정_0026 (chunk_no=26)
인사규정_0027 (chunk_no=27)
인사규정_0145 (chunk_no=145)
인사규정_0146 (chunk_no=146)
인사규정_0147 (chunk_no=147)",3.647,1.171,4.824
육아휴직은 자녀 한 명당 얼마나 사용할 수 있나요?,,제공된 문서만으로는 확인하기 어렵습니다.,,,,"1. 인사규정_0091 (인사규정)
2. 복무규정_0054 (복무규정)
3. 복무규정_0055 (복무규정)
4. 인사규정_0090 (인사규정)
5. 복무규정_0057 (복무규정)
6. 복무규정_0045 (복무규정)","인사규정_0090 (chunk_no=90)
인사규정_0091 (chunk_no=91)
인사규정_0092 (chunk_no=92)
복무규정_0053 (chunk_no=53)
복무규정_0054 (chunk_no=54)
복무규정_0055 (chunk_no=55)
복무규정_0056 (chunk_no=56)
인사규정_0089 (chunk_no=89)
복무규정_0057 (chunk_no=57)
복무규정_0058 (chunk_no=58)
복무규정_0044 (chunk_no=44)
복무규정_0045 (chunk_no=45)
복무규정_0046 (chunk_no=46)",3.717,0.87,4.592
징계사유가 발생한 뒤 징계를 요구할 수 있는 기간은 얼마나 되나요?,,"징계사유가 발생한 날로부터 3년 이내에 징계 의결을 요구할 수 있습니다. 단, 금품·향응 수수, 공금 횡령·유용, 채용비리의 경우에는 5년, 성폭력, 성희롱 및 성매매의 경우에는 10년으로 연장됩니다.",,인사규정_0146,인사규정 제59조 [인사규정_0146],"1. 인사규정_0146 (인사규정)
2. 인사규정_0147 (인사규정)
3. 인사규정_0148 (인사규정)
4. 인사규정_0121 (인사규정)
5. 인사규정_0120 (인사규정)
6. 인사규정_0130 (인사규정)","인사규정_0145 (chunk_no=145)
인사규정_0146 (chunk_no=146)
인사규정_0147 (chunk_no=147)
인사규정_0148 (chunk_no=148)
인사규정_0149 (chunk_no=149)
인사규정_0120 (chunk_no=120)
인사규정_0121 (chunk_no=121)
인사규정_0122 (chunk_no=122)
인사규정_0119 (chunk_no=119)
인사규정_0129 (chunk_no=129)
인사규정_0130 (chunk_no=130)
인사규정_0131 (chunk_no=131)",3.797,1.419,5.219
지각이나 조퇴가 쌓이면 연차에서 차감되나요?,,지각 및 조퇴는 연간 합산하여 누계 8시간이 될 경우 연차휴가 1일로 산정됩니다. 따라서 지각이나 조퇴가 쌓이면 연차에서 차감될 수 있습니다.,,복무규정_0016,복무규정 제7조 [복무규정_0016],"1. 복무규정_0016 (복무규정)
2. 복무규정_0035 (복무규정)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0015 (복무규정)
5. 복무규정_0036 (복무규정)
6. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)","복무규정_0015 (chunk_no=15)
복무규정_0016 (chunk_no=16)
복무규정_0017 (chunk_no=17)
복무규정_0034 (chunk_no=34)
복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0014 (chunk_no=14)
복무규정_0037 (chunk_no=37)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)",3.647,1.177,4.826
