문서,페이지,종류,내용
급여규정.json,3,paragraph,"<br><p id='11' data-category='paragraph' style='font-size:18px'>가. 기본연봉은 해당직책과 직위를 반영하여 기본적으로 지급되는 금액의 연액으로<br>서 「급여규정」 에서 지급한 봉급, 상여금, 제수당 및 「복지규정」 에서 정한 급여<br>성 복리후생비가 포함 된 것으로 본다.<br>나. 성과연봉은 전년도 경영 및 업무실적의 평가결과를 반영하여 해당연도에 차등<br>지급되는 금액의 연액을 말한다.</p>"
급여규정.json,3,paragraph,"<br><p id='12' data-category='paragraph' style='font-size:18px'>9. &#34;연봉월액&#34;이란 연봉에서 매월 지급되는 금액으로서 기본연봉을 12로 나눈 금액을<br>말한다.<br>10. &#34;퇴직&#34;이란 퇴임, 면직, 사망 또는 해직의 경우를 말한다.<br>11. &#34;직무급&#34;이란 직무의 상대적 가치 및 책임수준을 반영하여 지급되는 보수를 말한<br>다.<br>12. &lt;삭제 2024.08.01&gt;</p>"
급여규정.json,3,heading1,<h1 id='13' style='font-size:14px'>제2장 봉급 및 제수당</h1>
급여규정.json,3,heading1,"<h1 id='14' style='font-size:18px'>제4조(봉급) 직원의 봉급월액은 별표 2, 별표 2의2, 별표 3과 같다.</h1>"
급여규정.json,3,heading1,<br><h1 id='15' style='font-size:14px'>&lt;조 개정 2017.12.26&gt;</h1>
급여규정.json,3,paragraph,<br><p id='16' data-category='paragraph' style='font-size:18px'>제5조(강임시 등의 봉급보전) 강임된 자에게는 강임된 봉급이 강임되기 전의 봉급액보다<br>많아지게 되는 때까지는 강임되기 전의 봉급에 해당하는 금액을 지급한다.<br>제6조(수당의 종류 및 지급기준) ① 수당의 종류 및 지급기준은 별표 4와 같다.</p>
급여규정.json,3,paragraph,<br><p id='17' data-category='paragraph' style='font-size:18px'>② 자격수당·직무수당·박사수당 중 서로 중복되는 경우에는 본인에게 유리한 하나의 수당<br>만을 지급한다.</p>
급여규정.json,3,heading1,<br><h1 id='18' style='font-size:16px'>③ &lt;삭제 2024.08.01&gt;</h1>
급여규정.json,3,paragraph,<br><p id='19' data-category='paragraph' style='font-size:18px'>④ 가족수당을 지급받고자 하는 직원은 지급 자격을 확인할 수 있는 서류를 「재무규<br>정」 제8조제2항에 따른 회계책임자에게 제출하여야 한다. 부양가족에 변동이 생긴 때에<br>도 또한 같다.</p>
급여규정.json,3,paragraph,<br><p id='20' data-category='paragraph' style='font-size:20px'>⑤ 가족수당을 과다하게 지급받은 경우그 지급받은 수당을 변상하여야 한다.</p>
급여규정.json,3,list,<br><p id='21' data-category='list' style='font-size:14px'>1. &lt;삭제 2026.01.01&gt;<br>2. &lt;삭제 2026.01.01&gt;</p>
급여규정.json,3,paragraph,"<br><p id='22' data-category='paragraph' style='font-size:18px'>⑥ 가족수당을 허위의 방법으로 지급받은 경우 그 지급받은 수당을 변상하고, 1년의 범<br>위에서 허위로 지급받은 기간만큼 가족수당 지급을 정지한다.</p>"
급여규정.json,4,paragraph,<p id='23' data-category='paragraph' style='font-size:18px'>⑦ 회계책임자는 연 1회 이상 지급자격을 확인할 수 있는 서류를 제출받아 필요한 조치<br>를 할 수 있다.</p>
급여규정.json,4,heading1,<h1 id='24' style='font-size:14px'>제3장 보수계산 및 지급방법</h1>
급여규정.json,4,paragraph,<p id='25' data-category='paragraph' style='font-size:20px'>제7조(보수지급일) 보수의 지급일은 예산집행지침이 정하는 바에 따른다.</p>
급여규정.json,4,heading1,<br><h1 id='26' style='font-size:16px'>&lt;본조 개정 2024.08.01&gt;</h1>
급여규정.json,4,paragraph,"<br><p id='27' data-category='paragraph' style='font-size:18px'>제8조(보수의 계산 등) ① 봉급계산기간은 매월 1일부터 말일까지로 한다. 다만, 필요한<br>경우에는 일할 계산한다.</p>"
급여규정.json,4,paragraph,"<br><p id='28' data-category='paragraph' style='font-size:18px'>② 신규채용, 승진, 전직, 승급, 감봉 그 밖에 어떠한 경우의 임용에서도 보수는 모두 월<br>액을 일할 계산하여 지급한다.</p>"
급여규정.json,4,list,<br><p id='29' data-category='list' style='font-size:18px'>③ 보수의 일할계산은 그 달의 보수를 그달의 일수로 나누어 계산하는 것을 말한다.<br>④ 연봉의 일할계산은 연봉월액을 그 달의 일수로 나누어 계산하는 것을 말한다.<br>⑤ 다음 각 호의 경우에는 해당월분 전액을 지급한다.</p>
급여규정.json,4,list,<br><p id='30' data-category='list' style='font-size:18px'>1. 5년 이상 근무하고 15일 이상 근무 후 퇴직<br>2. 2년 이상 근무하고 「병역법」 등 의무수행으로 휴직<br>3. 재직 중 공무상 질병·부상 등으로 사망</p>
급여규정.json,4,paragraph,"<br><p id='31' data-category='paragraph' style='font-size:18px'>⑥ 제5항제1호에 따라 면직되었던 직원이 그 면직된 달에 다시 임명되었을 때에는 그 달<br>봉급을 지급하지 아니한다. 다만, 새로 임명된 직급의 봉급액이 면직당시의 봉급액보다<br>많은 경우에는 그 차액을 일할계산하여 지급한다.<br>⑦ 입사일 및 퇴직일은 보수계산기간에 산입(算入)한다. 단, 복직과 동시에 퇴직하는 경<br>우에는 퇴직일은 보수계산 기간에 산입하지 않는다.<br>⑧ 「인사규정」 제22조에 따라 정년 및 명예퇴직시 특별승진된 자와 추서된 자의 보수<br>는 그 정년, 특별승진 또는 추서(追敍 : 죽은 후 서훈)직전의 직급을 기준한다.<br>⑨ 미래설계교육자 정년퇴직에 따른 평균임금 산정시 미래설계교육 발령전의 대상 급여<br>를 포함할 수 있다.<br>⑩ 「인사규정」 제48조에 따라 시간제근무자로 지정된 직원에게 지급하는 보수는 해당<br>직원이 전일근무 시 지급받을 보수를 기준으로 근무시간에 비례하여 지급한다.<br>제9조(휴가, 휴직자의 보수) ① 휴가중에는 보수 전액을 지급한다. 다만, 「복무규정」 제<br>19조제2항에 따라 보건휴가를 사용한 때에는 월 봉급액의 30분의 1에 해당하는 금액을<br>감액 지급한다.</p>"
급여규정.json,4,heading1,<br><h1 id='32' style='font-size:18px'>② 휴직중의 보수는 다음 기준에 따른다.</h1>
급여규정.json,4,paragraph,"<br><p id='33' data-category='paragraph' style='font-size:18px'>1. 「인사규정」 제39조제1항제1호에 따라 휴직된 직원에게는 그 기간 중 봉급의 7<br>할을 지급하되, 1년을 초과한 때에는 그 기간 중 봉급의 5할을 지급한다.</p>"
급여규정.json,5,paragraph,<p id='34' data-category='paragraph' style='font-size:20px'>2. 「인사규정」 제39조제1항제2호부터 제4호까지와 같은조 제2항에 따라 휴직된 직<br>원에게는 그 기간 중 보수를 지급하지 아니한다.<br>3. 「인사규정」 제39조제1항제5호에 따라 휴직된 직원에게는 그 기간 중 「재해보<br>상규정」 이 정하는 바에 따라 지급한다.<br>4. 「복무규정」 제19조제1항제2호나목에 따른 휴가 직원에게는 「근로기준법」 이 정<br>하는 바에 따라 지급한다.</p>
급여규정.json,5,paragraph,<br><p id='35' data-category='paragraph' style='font-size:20px'>제10조(직위해제자의 보수) 직위해제기간중의 보수는 다음 기준에 따른다.</p>
급여규정.json,5,paragraph,"<br><p id='36' data-category='paragraph' style='font-size:20px'>1. 「인사규정」 제43조제1항제1호·제4호 해당 직원: 통상임금의 8할 지급<br>2. 「인사규정」 제43조제1항제2호·제3호·제6호 해당 직원: 봉급의 5할 지급. 다만, 직<br>위해제일부터 3개월이 경과하여도 직위를 부여받지 못한 때에는 그 3개월이 경과한<br>이후의 기간 중에는 봉급의 3할을 지급한다.<br>3. 「인사규정」 제43조제1항제2호, 제3호 및 제6호의 해당자로서 징계의결요구의<br>기각, 불기소처분(다만, 기소유예처분을 받은 경우를 제외한다) 또는 법원의 무죄선고<br>를 받은 경우 및 비리행위와 관련한 수사 결과 무혐의 처분을 받은 경우 또는 자체<br>및 외부 감사기관 조사결과 징계를 받지 않은 경우에는복귀일 또는 발령일에 원래 정<br>기승급일 기준으로 호봉을 재획정하고, 감액한 보수를 소급하여 지급</p>"
급여규정.json,5,paragraph,<br><p id='37' data-category='paragraph' style='font-size:20px'>제11조(잔무처리기간중의 보수) 면직된 자가 「복무규정」 제11조에 따라 사무인계 또<br>는 잔무처리를 위하여 15일을 초과하지 않는 범위내에서 계속 근무한 경우에는 종전과<br>동일한 보수를 일할계산하여 지급할 수 있다.</p>
급여규정.json,5,heading1,<br><h1 id='38' style='font-size:14px'>&lt;조 개정 2018.12.31&gt;</h1>
급여규정.json,5,paragraph,"<br><p id='39' data-category='paragraph' style='font-size:20px'>제12조(겸직자의 보수) 임직원이 본직 이외에 겸직한 경우에는 겸직에 대한 보수는 지급<br>하지 아니한다.<br>제13조(전근자의 보수) 전근한 자의 해당 월 보수는 출발일이 보수지급일 이전인 때에는<br>부임지에서 지급하고, 출발일이 보수지급일 다음 날 이후인 때에는 전근무지에서 지급한<br>다.<br>제14조(보수의 감액) ① 「인사규정」 제53조제1항 및 제2항의 강등 및 정직처분 기간<br>중의 보수는 전액을 감한다.<br>② 「인사규정」 제53조제3항의 감봉처분을 받은 경우 그 처분일 전일의 평균임금에서<br>60분의 1을 감하여 지급하며, 감액되는 보수의 총액은 처분 당시 월 보수총액의 10분의<br>1을 초과하지 못한다.</p>"
급여규정.json,5,list,<br><p id='40' data-category='list' style='font-size:16px'>1. 감봉 1월 처분: 1회 감액<br>2. 감봉 2월 처분: 2회 감액<br>3. 감봉 3월 처분: 3회 감액</p>
급여규정.json,6,heading1,<h1 id='41' style='font-size:18px'>③ 직원이 결근한 때에는 결근일수에 해당하는 봉급액을 지급하지 아니한다.</h1>
급여규정.json,6,paragraph,<br><p id='42' data-category='paragraph' style='font-size:18px'>제15조(면직 또는 징계처분이 취소된 자의 보수 및 상여금) 직원이 징계로 면직처분 되<br>었으나 재심이나 법원의 판결로 무효 또는 취소되는 경우에는 복직일 또는 발령일에 원<br>래의 정기승급일 기준으로 호봉을 재획정하여 당시의 보수 및 상여금의 전액 또는 차액<br>을 소급하여 지급한다.</p>
급여규정.json,6,heading1,<h1 id='43' style='font-size:14px'>제4장 호봉획정 및 승급</h1>
급여규정.json,6,paragraph,"<p id='44' data-category='paragraph' style='font-size:18px'>제16조(호봉획정) ① 직원의 초임호봉은 1호봉으로 하되, 별표 5에 따른 근무경력이 있<br>는 경우에는 이를 가산한다.</p>"
급여규정.json,6,paragraph,"<br><p id='45' data-category='paragraph' style='font-size:18px'>② 퇴직한 직원이 재임용 된 경우에는 퇴직당시의 호봉으로 한다.<br>③ 직원이 승진하는 때에는 3호봉을 차감한 호봉으로 한다. 다만, 기능직 3등급에서 기능<br>직 2등급으로 승진하는 때에는 2호봉을, 기능직 4등급에서 기능직 3등급으로 승진하는<br>때에는 1호봉을 차감한 호봉으로 한다.<br>④ 직원이 강등, 강임된 때에는 강등, 강임 전 직급의 호봉에 제3항의 차감 호봉을 더하<br>여 강등, 강임된 직급의 호봉으로 획정한다.<br>제17조(정기승급) ① 직원의 호봉 승급기간은 1년으로 한다.<br>② 승급은 매월 1일자로 시행한다. 단, 인사규정 제39조제2항제3호의 사유로 휴직한 경<br>우에는 휴직기간 중 승급일이 도래하는 경우에도 동일하게 적용한다.<br>제18조(특별승급) 직무수행이 탁월하여 공사의 발전 및 경영개선에 현저하게 공헌을 한<br>자는 근무기간 계산에서 1년을 가산한다. 다만, 그 사유로 특별승진된 자는 제외한다.<br>&lt;조 개정 2026.01.01&gt;<br>제19조(승급의 제한) ① 「근무성적평정규칙」 에 따른 근무성적평점이 만점의 6할 미만<br>인 경우에는 차기 정기승급 예정일부터 6개월간 승급을 제한한다.</p>"
급여규정.json,6,list,<br><p id='46' data-category='list' style='font-size:14px'>1. &lt;삭제 2026.01.01&gt;<br>2. &lt;삭제 2026.01.01&gt;<br>3. &lt;삭제 2026.01.01&gt;</p>
급여규정.json,6,paragraph,<br><p id='47' data-category='paragraph' style='font-size:18px'>② 제17조제1항의 근무기간 계산에서 「인사규정」 제20조에 따른 승진임용의 제한기간<br>은 그 기간을 산입(算入)하지 않는다.</p>
급여규정.json,6,paragraph,<br><p id='48' data-category='paragraph' style='font-size:14px'>1. &lt;삭제 2026.01.01&gt;<br>2. &lt;삭제 2026.01.01&gt;<br>3. &lt;삭제 2026.01.01&gt;<br>4. &lt;삭제 2026.01.01&gt;</p>
급여규정.json,6,list,<br><p id='49' data-category='list'></p>
급여규정.json,6,paragraph,"<br><p id='50' data-category='paragraph' style='font-size:18px'>③ 제2항에도 불구하고 「인사규정」 제39조제1항제2호·제4호·제5호, 같은 조 제2항제3</p>"
급여규정.json,7,paragraph,"<p id='51' data-category='paragraph' style='font-size:20px'>호에 따른 휴직기간은 승급기간에 산입한다. 이 경우 승급기간 산입에 관하여는 「인사규<br>정」 제21조제3항에 따른다.<br>제20조(승급기간의 특례) ① 제19조제1항의 승급제한기간 경과 후 1년이 지난 경우 그<br>승급제한기간을 승급기간에 산입한다.<br>② 제19조제2항의 근무기간계산은 승급기간에 산입(算入)하지 아니하되, 징계처분을 받<br>은 자가 징계처분의 집행이 종료된 날부터 다음의 기간이 경과한 경우에는 제19조제2항<br>의 근무기간을 승급기간에 산입(算入)한다. 다만, 징계처분을 받고 그 집행이 종료된 날<br>부터 다음의 기간이 경과하기 전에 다른 징계처분을 받은 때에는 각각의 징계처분에 대<br>한 다음의 기간을 합산한 기간이 경과하여야 한다.</p>"
급여규정.json,7,list,<br><p id='52' data-category='list' style='font-size:18px'>1. 강등·정직 3년<br>2. 감 봉 2년<br>3. 견 책 1년 6월</p>
급여규정.json,7,paragraph,<br><p id='53' data-category='paragraph' style='font-size:18px'>③ &lt;삭제 2026.01.01&gt;</p>
급여규정.json,7,paragraph,<p id='54' data-category='paragraph' style='font-size:14px'>제5장 연 봉 제</p>
급여규정.json,7,paragraph,"<p id='55' data-category='paragraph' style='font-size:20px'>제21조(연봉제 적용대상) 연봉제 적용대상은 임원, 국토정보교육원장·공간정보연구원장·<br>지역본부장, 3급 이상 일반직·연구직·보조직·전문경력직 및 업무직으로 한다. 다만, 3급<br>일반직의 경우에는 수석팀장을 제외한 보직자(해당보직자가 보직을 면한 경우를 포함한<br>다)에 한정한다.</p>"
급여규정.json,7,heading1,<br><h1 id='56' style='font-size:16px'>&lt;조 개정 2024.01.01&gt;</h1>
급여규정.json,7,paragraph,<br><p id='57' data-category='paragraph' style='font-size:20px'>제22조(적용범위) 이 장은 연봉제 적용대상자에게 적용한다.<br>제23조(연봉 및 연봉한계액) 연봉제 대상자의 연봉액은 별표 6의 금액으로 한다.</p>
급여규정.json,7,heading1,<br><h1 id='58' style='font-size:16px'>&lt;조 개정 2018.12.31&gt;</h1>
급여규정.json,7,paragraph,"<br><p id='59' data-category='paragraph' style='font-size:20px'>제24조(임원의 보수) 임원의 보수는 제23조에도 불구하고 「공공기관의 운영에 관한 법<br>률」 제33조제1항 각 호의 사항을 고려하여 이사회에서 정한다. 다만, 준정부기관으로<br>지정된 첫해의 임원의 보수는 지정당시 공사의 「급여규정」 등에 의한다.</p>"
급여규정.json,7,heading1,<br><h1 id='60' style='font-size:16px'>&lt;조 개정 2018.12.31&gt;</h1>
급여규정.json,7,paragraph,"<br><p id='61' data-category='paragraph' style='font-size:20px'>제25조(상위직위로 임용시 연봉책정) 2년이상 현직에 근무중인 연봉대상자가 상위직위로<br>임용된 경우 임용된 달 연봉월액의 차액에 대한 일할 계산분과 잔여월의 연봉월액을 합<br>산하여 해당연도 기본연봉으로 한다.<br>제26조(연봉의 조정) ①기본연봉의 조정은 매년 1월 1일을 기준으로 전년도 기본연봉에<br>사장이 정하는 해당연도 정책조정액을 합산하여 조정한다. 다만, 연봉 감액 등의 사유가<br>발생한 경우에는 수시로 조정할 수 있다.</p>"
급여규정.json,8,paragraph,<p id='62' data-category='paragraph' style='font-size:16px'>②성과연봉은 기본연봉의 조정 및 경영방침에 따라 매년 사장이 따로 정한다.<br>제27조(부가 급여) 연봉에 포함되지 않은 수당 및 복리후생비는 급여관련규정 및 「예산<br>집행지침」 등에 따라 별도 지급할 수 있다.</p>
급여규정.json,8,paragraph,<br><p id='63' data-category='paragraph' style='font-size:14px'>&lt;조 개정 2018.12.31&gt;</p>
급여규정.json,8,paragraph,<br><p id='64' data-category='paragraph' style='font-size:20px'>제28조(연봉의 계산기간 및 지급) ① 연봉의 계산기간은 매년 1월1일부터 12월 31일까<br>지로 한다.</p>
급여규정.json,8,list,<br><p id='65' data-category='list' style='font-size:16px'>② 기본연봉의 지급은 연봉월액을 매월 직원 봉급지급일에 지급한다.<br>③ 연봉산정 등에 관한 세부사항은 사장이 따로 정한다.</p>
급여규정.json,8,paragraph,"<br><p id='66' data-category='paragraph' style='font-size:16px'>제29조(계산의 특례) ① 신규임용, 직위변경, 감봉 그 밖에 어떠한 임용의 경우에도 기본<br>연봉은 발령일을 기준으로 연봉월액을 일할 계산하여 지급한다.<br>② 공사 규정에 따라 감액된 연봉을 지급받는 자에 대하여 다시 연봉을 감액하고자 하는<br>경우(동시에 2가지 이상의 사유로 연봉을 감액하고자하는 경우를 포함한다)에는 중복되<br>는 감액기간에 한정하여 이미 감액된 연봉을 기준으로 하여 계산한다.</p>"
급여규정.json,8,paragraph,<br><p id='67' data-category='paragraph' style='font-size:16px'>③ 다음 각 호의 경우에는 그달 기본연봉 월액의 전액을 지급한다.</p>
급여규정.json,8,list,<br><p id='68' data-category='list' style='font-size:16px'>1. 5년 이상 근무하고 15일 이상 근무 후 퇴직<br>2. 2년 이상 근무하고 「병역법」 등 의무수행으로 휴직<br>3. 재직 중 공무상 질병·부상 등으로 사망</p>
급여규정.json,8,paragraph,"<br><p id='69' data-category='paragraph' style='font-size:16px'>④ 제3항에 따라 연봉월액 전액을 지급받은 자가 그 면직된 달에 다시 임용된 때에는 그<br>달의 연봉월액이 면직당시의 연봉월액보다 많은 경우에는 그 차액을 일할 계산하여 지급<br>한다.<br>제30조(성과연봉의 지급) ① 성과연봉은 전년도 평가결과가 확정된 후 일시불로 지급한<br>다. 이 경우, 임원은 외부경영평가기관의 평가결과에 의하며, 상·하반기 분할 지급할 수<br>있다.<br>② 성과연봉은 경영실적평가 결과에 따라 분할 지급할 수 있다.<br>제31조(휴직기간중의 연봉) ① 「인사규정」 제39조제1항제1호에 따라 휴직한 연봉대상<br>자에게는 그 기간중 연봉월액의 6할을 지급하되, 1년을 초과한 때에는 그 기간 중 연봉<br>월액의 4할을 지급한다.<br>② 「인사규정」 제39조제1항제2호부터 제4호까지와 제39조제2항에 따라 휴직된 연봉대<br>상자에게는 그 기간 중 기본연봉을 지급하지 아니한다.<br>③ 「인사규정」 제39조제1항제5호에 따라 휴직된 연봉대상자에게는 그 기간 중 「재해<br>보상규정」 이 정하는 바에 따라 지급한다.<br>제32조(직위해제 기간중의 연봉) ① 직위해제 기간 중의 연봉을 다음과 같이 지급한다.</p>"
급여규정.json,8,paragraph,<br><p id='70' data-category='paragraph' style='font-size:16px'>1. 「인사규정」 제43조제1항제1호·제4호 해당 자: 연봉월액의 8할 지급</p>
급여규정.json,9,paragraph,"<p id='71' data-category='paragraph' style='font-size:20px'>2. 「인사규정」 제43조제1항제2호·제3호·제6호 해당자: 연봉월액의 4할 지급. 다만,<br>직위해제일부터 3개월이 경과하여도 직위를 부여받지 못한 때에는 그 3개월이 경과<br>한 이후의 기간 중에는 연봉월액의 2할을 지급한다.</p>"
급여규정.json,9,list,<p id='72' data-category='list' style='font-size:16px'>1. 감봉 1월 처분: 1회 감액<br>2. 감봉 2월 처분: 2회 감액<br>3. 감봉 3월 처분: 3회 감액</p>
급여규정.json,9,paragraph,"<br><p id='73' data-category='paragraph' style='font-size:20px'>② 「인사규정」 제43조제1항제2호, 제3호 및 제6호의 해당자로서 징계의결요구의 기각,<br>불기소처분(다만, 기소유예처분을 받은 경우를 제외한다) 또는 법원의 무죄선고를 받은<br>경우 및 비리행위와 관련한 수사 결과 무혐의 처분을 받은 경우 또는 자체 및 외부 감사<br>기관 조사결과 징계를 받지 않은 경우에는 복귀일 또는 발령일에 감액한 보수를 소급하<br>여 지급한다.<br>제33조(연봉액의 감액) ① 「인사규정」 제53조제1항 및 제2항의 강등 및 정직처분기간<br>중 연봉월액 전액을 감한다.<br>② 「인사규정」 제53조제3항의 감봉처분을 받은 경우 그 처분일 전일의 평균임금에서<br>60분의 1을 감하여 지급하며, 감액되는 보수의 총액은 처분 당시 월 보수총액의 10분의<br>1을 초과하지 못한다.</p>"
급여규정.json,9,heading1,<h1 id='74' style='font-size:20px'>③ 연봉제대상자가 결근한 때에는 결근일수에 해당하는 연봉액을 지급하지 아니한다.</h1>
급여규정.json,9,paragraph,<p id='75' data-category='paragraph' style='font-size:14px'>제6장 퇴 직 금</p>
급여규정.json,9,paragraph,"<p id='76' data-category='paragraph' style='font-size:20px'>제34조(퇴직금) ① 연봉제 대상자 및 직원이 1년 이상 근무하고 퇴직하는 경우의 퇴직금<br>은 근속연수 1년에 대하여 1개월분의 평균임금으로 하며, 별지 제2호서식에 따라 지급한<br>다.</p>"
급여규정.json,9,paragraph,"<br><p id='77' data-category='paragraph' style='font-size:20px'>② 연봉대상자 및 직원의 재직기간이 1년 미만인 때에는 퇴직금은 지급하지 아니한다.<br>③ 퇴직금 지급에서 재직기간 계산은 임원 및 직원으로 임명된 날이 속하는 월로부터 퇴<br>직 또는 사망한 날이 속하는 월까지의 연월수에 한정한다. 이 경우 근속연수의 단수가 1<br>년 미만은 월할 계산하고, 1개월 미만은 1개월로 한다. 다만, 「인사규정」 제39조제2항<br>에 따라 휴직후 복직하지 아니한 경우와 같은조 제1항제2호에 따른 휴직기간은 재직기간<br>에 산입(算入)하지 아니한다.<br>④ 「한국국토정보공사 임직원행동강령」 제5장과 관련하여 금고이상의 형을 받았거나 징<br>계로 파면된 경우에는 그 퇴직금은 2분의 1을 감액하여 지급하며 해임된 경우에는 그 퇴<br>직금은 4분의 1을 감액하여 지급한다. 단, 임원이 다음 각 호의 어느 하나에 해당하는 경<br>우에는 퇴직금의 2분의 1을 감액하여 지급한다.</p>"
급여규정.json,9,paragraph,<br><p id='78' data-category='paragraph' style='font-size:20px'>1. 재직 중의 사유(직무와 관련이 없는 과실로 인한 경우 및 정당한 직무상의 명령에</p>
급여규정.json,10,paragraph,"<p id='79' data-category='paragraph' style='font-size:14px'>따르다가 과실로 인한 경우는 제외한다)로 금고 이상의 형이 확정된 경우<br>2. 「공공기관의 운영에 관한 법률」 제22조, 제48조제4항 및 제8항, 제52조의3에 따<br>라 해임된 경우</p>"
급여규정.json,10,paragraph,"<br><p id='80' data-category='paragraph' style='font-size:14px'>⑤ 제4항은 제36조에 따른 퇴직금 중간정산지급액에도 적용한다.<br>⑥ 제4항에 따른 퇴직금 지급액이 「근로기준법」 상의 퇴직금최저액에 미달하는 때에는<br>「근로기준법」 상의 퇴직금최저액으로 한다.<br>⑦ 제4항에 따라 퇴직금을 감액하여 지급한 후 그 감액 사유가 소급하여 소멸되었을 때<br>에는 그 감액된 금액에 「민법」 제379조에 따른 이자를 가산하여 지급한다.<br>⑧ 재직 중의 사유로 금고 이상의 형에 처할 범죄행위로 인하여 수사가 진행 중이거나<br>형사재판이 계속 중일 때에는 퇴직금의 2분의 1을 지급 정지할 수 있다. 이 경우 퇴직금<br>의 제한사유에 해당하지 아니하게 되었을 때에는 그 지급 정지하였던 금액에 「민법」<br>제379조에 따른 이자를 가산하여 지급한다.<br>제35조(명예퇴직금) ① 「인사규정」 제46조에 따라 명예퇴직하는 직원에게 예산의 범<br>위안에서 명예퇴직금을 지급할 수 있다.<br>② 제1항에 따른 명예퇴직금은 별표 7에 정한 금액을 지급한다.<br>제35조의2(조기퇴직금) ① 「인사규정」 제46조의2에 따라 조기퇴직하는 직원에게는 예<br>산의 범위안에서 조기퇴직금을 지급할 수 있다.<br>② 제1항에 따른 조기퇴직금은 퇴직당시 봉급월액(연봉제 직원은 연봉월액)의 6개월분으<br>로 한다. 다만, 정년까지의 잔여기간이 6개월 미만인 경우에는 그 잔여월수로 한다.<br>③ 잔여월수의 계산은 조기퇴직금의 지급사유가 발생한 일을 기준하여 그 다음월부터 정<br>년일이 도달하는 월까지로 하며 월 미만의 경우는 1월로 계산한다.<br>제36조(퇴직금중간정산) ① 1년 이상 근속한 임직원이 「근로자퇴직급여보장법」 제8조<br>제2항의 사유로 퇴직금 중간정산을 요구할 경우 해당연도 퇴직금 예산의 범위 안에서 중<br>간정산하여 지급할 수 있다.<br>② 퇴직금 중간정산은 퇴직금 산정을 위한 근속기간의 계산 이 외에는 영향을 주지 아니<br>한다.<br>③ 퇴직금 중간정산 기간은 입사일부터 중간정산 지급일 현재 전년도 말일까지 계속 근<br>속한 기간으로 한다. 다만, 중간정산을 받은 직원이 다시 신청할 경우에는 기 지급된 이<br>후부터 산정한다.<br>④ 퇴직금 중간정산을 희망하는 직원은 본인명의의 계좌를 기입한 별지 제3호서식에 따<br>른 퇴직금 중간정산 신청서를 소속기관의 장에게 제출하여야 하며, 소속기관의 장은 퇴직<br>금 중간정산금을 확정하여 사장에게 퇴직금 중간정산금을 신청하여야 한다.<br>제37조(퇴직금의 수령권자) 퇴직금의 수령권자는 본인으로 하되 본인이 사망한 때에는</p>"
급여규정.json,10,list,<br><p id='81' data-category='list'></p>
급여규정.json,11,paragraph,<p id='0' data-category='paragraph' style='font-size:22px'>「민법」 에서 정하는 재산상속권자에게 지급한다.</p>
급여규정.json,11,paragraph,<br><p id='1' data-category='paragraph' style='font-size:16px'>&lt;조 개정 2015.06.17&gt;</p>
급여규정.json,11,heading1,<h1 id='2' style='font-size:14px'>제7장 기 타 급 여</h1>
급여규정.json,11,paragraph,<p id='3' data-category='paragraph' style='font-size:18px'>제38조(상여금) 상여금 = 통상임금 X 근무월수 / 상여금지급기간(월)이 경우 실제 근무<br>일수가 15일미만 되는 달은 근무월수에서 제외한다.</p>
급여규정.json,11,paragraph,<br><p id='4' data-category='paragraph' style='font-size:20px'>① 임직원에게는 예산의 범위안에서 매년 6월과 12월의 봉급지급일에 상여금을 지급할<br>수 있다.<br>② 다음 각 호의 어느 하나에 해당하는 자는 상여금을 지급하지 아니한다.<br>1. 상여금을 지급하는 달의 말일(이하 &#34;기준일&#34;이라 한다)이전과 전기준일의 다음날<br>이후의 사이(이하 &#34;상여금 지급기간&#34;이라 한다)에 파면된 자<br>2. 상여금지급기간의 2분의 1 미만 근무하고 퇴직 또는 휴직한 자</p>
급여규정.json,11,paragraph,<br><p id='5' data-category='paragraph' style='font-size:20px'>③ 상여금은 지급하는 달의 통상임금을 기준하여 다음 공식에 따른다.</p>
급여규정.json,11,paragraph,<p id='6' data-category='paragraph' style='font-size:20px'>⑤ 전 회계연도의 사업실적이 신장된 때에는 특별상여금을 지급할 수 있다. 이 경우 그<br>지급 범위와 방법은 사장이 정한다.<br>제39조(성과상여금) ① 근무성적 및 업무실적 등을 평가하여 예산의 범위 안에서 성과상<br>여금을 지급할 수 있다.<br>② 사장은 필요한 경우에는 성과상여금평가위원회(이하 &#34;위원회&#34;라 한다)를 구성 운영할<br>수 있다.<br>③ 성과상여금의 지급기준·지급범위 및 지급방법 등 필요한 사항은 사장이 정한다.</p>
급여규정.json,11,paragraph,<br><p id='7' data-category='paragraph' style='font-size:20px'>제40조(업무수행의 실제비용 등) 상근하지 않는 임원의 업무 수행에 필요한 실제비용과<br>「한국국토정보공사 정관」 제26조제1항에 의한 고문의 보수는 예산의 범위에서 지급할<br>수 있다.</p>
급여규정.json,11,heading1,<br><h1 id='8' style='font-size:16px'>&lt;조 개정 2018.12.31&gt;</h1>
급여규정.json,11,paragraph,<br><p id='9' data-category='paragraph' style='font-size:20px'>제41조(직무급 및 직무기본급) ① 직무급은 직무등급에 따라 해당직무의 수행 기간에 대<br>하여 지급한다. 지급기준은 별표8과 같다.</p>
